Identificador do processo de viagem ,Sequência Trecho,Origem - Data,Origem - País,Origem - UF,Origem - Cidade,Destino - Data,Destino - País,Destino - UF,Destino - Cidade,Meio de transporte,Número Diárias,Missao?
13527192,1,20170215,Brasil,Ceará,Fortaleza,20170217,Brasil,Distrito Federal,Brasília,Aéreo,2.00,"Sim
"
13527192,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Ceará,Fortaleza,Aéreo,0.00,"Não
"
13527193,1,20170214,Brasil,São Paulo,Campinas,20170216,Brasil,Distrito Federal,Brasília,Aéreo,2.00,"Sim
"
13527193,2,20170216,Brasil,Distrito Federal,Brasília,20170216,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527194,1,20170215,Brasil,Goiás,Goiânia,20170217,Brasil,Distrito Federal,Brasília,Aéreo,2.00,"Sim
"
13527194,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Goiás,Goiânia,Aéreo,0.00,"Não
"
13527195,1,20170214,Brasil,São Paulo,São Paulo,20170217,Brasil,Distrito Federal,Brasília,Aéreo,3.00,"Sim
"
13527195,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,São Paulo,São Paulo,Aéreo,0.00,"Não
"
13527196,1,20170215,Brasil,Rio Grande do Sul,Porto Alegre,20170217,Brasil,Distrito Federal,Brasília,Aéreo,2.00,"Sim
"
13527196,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,0.00,"Não
"
13527197,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527197,1,20170214,Brasil,Rio de Janeiro,Rio de Janeiro,20170217,Brasil,Distrito Federal,Brasília,Aéreo,3.00,"Sim
"
13527198,1,20170214,Brasil,Pará,Belém,20170217,Brasil,Distrito Federal,Brasília,Aéreo,3.00,"Sim
"
13527198,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Pará,Belém,Aéreo,0.00,"Não
"
13527199,1,20170215,Brasil,Paraná,Curitiba,20170217,Brasil,Distrito Federal,Brasília,Aéreo,2.00,"Sim
"
13527199,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Paraná,Curitiba,Aéreo,0.00,"Não
"
13527203,2,20170224,Brasil,Distrito Federal,Brasília,20170224,Brasil,Amazonas,Manaus,Aéreo,0.00,"Não
"
13527203,1,20170213,Brasil,Amazonas,Manaus,20170224,Brasil,Distrito Federal,Brasília,Aéreo,11.00,"Sim
"
13527204,4,20170301,Itália,,Milão,20170301,Áustria,,Viena,Aéreo,0.00,"Não
"
13527204,7,20170305,Espanha,,Madri,20170310,Espanha,,Madri,Inválido,0.00,"Sim
"
13527204,5,20170301,Áustria,,Viena,20170305,Áustria,,Viena,Inválido,0.00,"Sim
"
13527204,6,20170305,Áustria,,Viena,20170305,Espanha,,Madri,Aéreo,0.00,"Não
"
13527204,8,20170310,Espanha,,Madri,20170311,Brasil,São Paulo,Guarulhos,Aéreo,0.00,"Não
"
13527204,3,20170226,Itália,,Milão,20170301,Itália,,Milão,Inválido,0.00,"Sim
"
13527204,1,20170225,Brasil,Rio de Janeiro,Rio de Janeiro,20170225,Brasil,São Paulo,Guarulhos,Aéreo,0.00,"Não
"
13527204,2,20170225,Brasil,São Paulo,Guarulhos,20170226,Itália,,Milão,Aéreo,0.00,"Não
"
13527204,9,20170311,Brasil,São Paulo,Guarulhos,20170311,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527209,2,20170306,Brasil,Ceará,Fortaleza,20170310,Brasil,Distrito Federal,Brasília,Aéreo,4.00,"Sim
"
13527209,1,20170305,Brasil,Ceará,Quixadá,20170306,Brasil,Ceará,Fortaleza,Rodoviário,1.00,"Não
"
13527209,4,20170311,Brasil,Ceará,Fortaleza,20170311,Brasil,Ceará,Quixadá,Rodoviário,0.00,"Não
"
13527209,3,20170310,Brasil,Distrito Federal,Brasília,20170311,Brasil,Ceará,Fortaleza,Aéreo,1.00,"Não
"
13527211,4,20170224,Brasil,Rio Grande do Sul,Porto Alegre,20170224,Brasil,Mato Grosso,Cuiabá,Aéreo,0.00,"Não
"
13527211,1,20170215,Brasil,Mato Grosso,Cuiabá,20170219,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,4.00,"Sim
"
13527211,3,20170223,Brasil,Rio Grande do Sul,Passo Fundo,20170224,Brasil,Rio Grande do Sul,Porto Alegre,Veículo Oficial,1.00,"Não
"
13527211,2,20170219,Brasil,Rio Grande do Sul,Porto Alegre,20170223,Brasil,Rio Grande do Sul,Passo Fundo,Veículo Oficial,4.00,"Sim
"
13527214,4,20170316,Brasil,Ceará,Fortaleza,20170316,Brasil,São Paulo,Ribeirão Preto,Aéreo,0.00,"Não
"
13527214,1,20170312,Brasil,São Paulo,Ribeirão Preto,20170312,Brasil,Ceará,Fortaleza,Aéreo,0.00,"Não
"
13527214,3,20170316,Brasil,Ceará,Itapipoca,20170316,Brasil,Ceará,Fortaleza,Rodoviário,0.00,"Não
"
13527214,2,20170312,Brasil,Ceará,Fortaleza,20170316,Brasil,Ceará,Itapipoca,Rodoviário,4.00,"Sim
"
13527224,6,20170208,Brasil,Minas Gerais,Belo Horizonte,20170208,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527224,2,20170202,Brasil,Minas Gerais,Belo Horizonte,20170202,Brasil,Minas Gerais,Governador Valadares,Aéreo,0.00,"Não
"
13527224,3,20170202,Brasil,Minas Gerais,Governador Valadares,20170208,Brasil,Minas Gerais,Teófilo Otoni,Veículo Oficial,6.00,"Sim
"
13527224,4,20170208,Brasil,Minas Gerais,Teófilo Otoni,20170208,Brasil,Minas Gerais,Governador Valadares,Veículo Oficial,0.00,"Não
"
13527224,5,20170208,Brasil,Minas Gerais,Governador Valadares,20170208,Brasil,Minas Gerais,Belo Horizonte,Aéreo,0.00,"Não
"
13527224,1,20170202,Brasil,Rio de Janeiro,Rio de Janeiro,20170202,Brasil,Minas Gerais,Belo Horizonte,Aéreo,0.00,"Não
"
13527229,2,20170217,Índia,,Bangalore,20170218,Brasil,São Paulo,Guarulhos,Aéreo,0.00,"Não
"
13527229,1,20170212,Brasil,São Paulo,Guarulhos,20170217,Índia,,Bangalore,Aéreo,0.00,"Sim
"
13527231,1,20170215,Brasil,São Paulo,São Paulo,20170217,Brasil,Distrito Federal,Brasília,Aéreo,2.00,"Sim
"
13527231,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,São Paulo,São Paulo,Aéreo,0.00,"Não
"
13527234,1,20170205,Brasil,Mato Grosso,Cuiabá,20170218,Brasil,Distrito Federal,Brasília,Aéreo,13.00,"Sim
"
13527258,2,20170221,Brasil,São Paulo,São Paulo,20170221,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527258,1,20170220,Brasil,Rio de Janeiro,Rio de Janeiro,20170221,Brasil,São Paulo,São Paulo,Aéreo,1.00,"Sim
"
13527261,1,20170213,Brasil,Distrito Federal,Brasília,20170215,Brasil,Amazonas,Manaus,Aéreo,2.00,"Sim
"
13527261,2,20170215,Brasil,Amazonas,Manaus,20170215,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527262,2,20170210,Brasil,Paraíba,João Pessoa,20170210,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527262,1,20170206,Brasil,Distrito Federal,Brasília,20170210,Brasil,Paraíba,João Pessoa,Aéreo,4.00,"Sim
"
13527267,1,20170206,Brasil,Pernambuco,Recife,20170209,Brasil,Sergipe,Aracaju,Aéreo,3.00,"Sim
"
13527267,2,20170209,Brasil,Sergipe,Aracaju,20170209,Brasil,Pernambuco,Recife,Aéreo,0.00,"Não
"
13527269,4,20170316,Brasil,Ceará,Fortaleza,20170316,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,0.00,"Não
"
13527269,1,20170312,Brasil,Rio Grande do Sul,Porto Alegre,20170312,Brasil,Ceará,Fortaleza,Aéreo,0.00,"Não
"
13527269,3,20170316,Brasil,Ceará,Itapipoca,20170316,Brasil,Ceará,Fortaleza,Rodoviário,0.00,"Não
"
13527269,2,20170312,Brasil,Ceará,Fortaleza,20170316,Brasil,Ceará,Itapipoca,Rodoviário,4.00,"Sim
"
13527272,1,20170214,Brasil,Rio Grande do Norte,Natal,20170217,Brasil,Distrito Federal,Brasília,Aéreo,3.00,"Sim
"
13527272,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Rio Grande do Norte,Natal,Aéreo,0.00,"Não
"
13527273,1,20170215,Brasil,Paraná,Curitiba,20170217,Brasil,Distrito Federal,Brasília,Aéreo,2.00,"Sim
"
13527273,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Paraná,Curitiba,Aéreo,0.00,"Não
"
13527274,1,20170215,Brasil,São Paulo,São Paulo,20170217,Brasil,Distrito Federal,Brasília,Aéreo,2.00,"Sim
"
13527274,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,São Paulo,São Paulo,Aéreo,0.00,"Não
"
13527275,1,20170214,Brasil,São Paulo,São Paulo,20170217,Brasil,Distrito Federal,Brasília,Aéreo,3.00,"Sim
"
13527275,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527277,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Sergipe,Aracaju,Aéreo,0.00,"Não
"
13527277,1,20170214,Brasil,Sergipe,Aracaju,20170217,Brasil,Distrito Federal,Brasília,Aéreo,3.00,"Sim
"
13527279,1,20170204,Brasil,Distrito Federal,Brasília,20170206,Brasil,Bahia,Salvador,Aéreo,2.00,"Sim
"
13527279,2,20170206,Brasil,Bahia,Salvador,20170206,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527280,2,20170221,Brasil,São Paulo,São Paulo,20170221,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527280,1,20170220,Brasil,Rio de Janeiro,Rio de Janeiro,20170221,Brasil,São Paulo,São Paulo,Aéreo,1.00,"Sim
"
13527283,2,20170224,Brasil,Distrito Federal,Brasília,20170224,Brasil,Santa Catarina,Florianópolis,Aéreo,0.00,"Não
"
13527283,1,20170213,Brasil,Santa Catarina,Florianópolis,20170224,Brasil,Distrito Federal,Brasília,Aéreo,11.00,"Sim
"
13527286,1,20170307,Brasil,Distrito Federal,Brasília,20170310,Brasil,Bahia,Salvador,Aéreo,3.00,"Sim
"
13527286,2,20170310,Brasil,Bahia,Salvador,20170310,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527287,2,20170216,Brasil,Ceará,Fortaleza,20170216,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527287,1,20170213,Brasil,Distrito Federal,Brasília,20170216,Brasil,Ceará,Fortaleza,Aéreo,3.00,"Sim
"
13527288,1,20170216,Brasil,Distrito Federal,Brasília,20170216,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Sim
"
13527288,2,20170216,Brasil,Rio de Janeiro,Rio de Janeiro,20170216,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527292,1,20170215,Brasil,Alagoas,Maceió,20170218,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,3.00,"Sim
"
13527292,2,20170218,Brasil,Rio de Janeiro,Rio de Janeiro,20170218,Brasil,Alagoas,Maceió,Aéreo,0.00,"Não
"
13527296,2,20170218,Brasil,Distrito Federal,Brasília,20170218,Brasil,Santa Catarina,Florianópolis,Aéreo,0.00,"Não
"
13527296,1,20170214,Brasil,Santa Catarina,Florianópolis,20170218,Brasil,Distrito Federal,Brasília,Aéreo,4.00,"Sim
"
13527297,1,20170214,Brasil,Rio Grande do Sul,Porto Alegre,20170217,Brasil,Distrito Federal,Brasília,Aéreo,3.00,"Sim
"
13527297,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,0.00,"Não
"
13527298,1,20170215,Brasil,Rio Grande do Sul,Porto Alegre,20170218,Brasil,Distrito Federal,Brasília,Aéreo,3.00,"Sim
"
13527298,2,20170218,Brasil,Distrito Federal,Brasília,20170218,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,0.00,"Não
"
13527299,1,20170215,Brasil,Espírito Santo,Vitória,20170218,Brasil,Distrito Federal,Brasília,Aéreo,3.00,"Sim
"
13527299,2,20170218,Brasil,Distrito Federal,Brasília,20170218,Brasil,Espírito Santo,Vitória,Aéreo,0.00,"Não
"
13527300,1,20170216,Brasil,Mato Grosso do Sul,Campo Grande,20170217,Brasil,Distrito Federal,Brasília,Aéreo,1.00,"Sim
"
13527300,2,20170217,Brasil,Distrito Federal,Brasília,20170217,Brasil,Mato Grosso do Sul,Campo Grande,Aéreo,0.00,"Não
"
13527309,5,20170316,Brasil,Ceará,Fortaleza,20170316,Brasil,São Paulo,Campinas,Aéreo,0.00,"Não
"
13527309,6,20170316,Brasil,São Paulo,Campinas,20170316,Brasil,São Paulo,Piracicaba,Rodoviário,0.00,"Não
"
13527309,2,20170312,Brasil,São Paulo,Campinas,20170312,Brasil,Ceará,Fortaleza,Aéreo,0.00,"Não
"
13527309,1,20170312,Brasil,São Paulo,Piracicaba,20170312,Brasil,São Paulo,Campinas,Rodoviário,0.00,"Não
"
13527309,4,20170316,Brasil,Ceará,Itapipoca,20170316,Brasil,Ceará,Fortaleza,Rodoviário,0.00,"Não
"
13527309,3,20170312,Brasil,Ceará,Fortaleza,20170316,Brasil,Ceará,Itapipoca,Rodoviário,4.00,"Sim
"
13527314,14,20171231,Brasil,Distrito Federal,Brasília,20171231,Brasil,Rio de Janeiro,Rio de Janeiro,Rodoviário,0.00,"Não
"
13527314,4,20170419,Brasil,Rio de Janeiro,Rio de Janeiro,20170421,Brasil,Rio Grande do Norte,Natal,Rodoviário,2.00,"Sim
"
13527314,2,20170123,Brasil,Distrito Federal,Brasília,20170417,Brasil,Rio Grande do Norte,Natal,Veículo Oficial,84.00,"Sim
"
13527314,12,20171107,Brasil,Rio de Janeiro,Rio de Janeiro,20171124,Brasil,Rio Grande do Norte,Natal,Rodoviário,17.00,"Sim
"
13527314,9,20170930,Brasil,Rio de Janeiro,Rio de Janeiro,20170930,Brasil,Sergipe,Aracaju,Rodoviário,0.00,"Sim
"
13527314,13,20171124,Brasil,Rio Grande do Norte,Natal,20171231,Brasil,Distrito Federal,Brasília,Veículo Oficial,37.00,"Sim
"
13527314,8,20170929,Brasil,Sergipe,Aracaju,20170930,Brasil,Rio de Janeiro,Rio de Janeiro,Rodoviário,0.00,"Não
"
13527314,6,20170724,Brasil,Sergipe,Aracaju,20170728,Brasil,Rio de Janeiro,Rio de Janeiro,Rodoviário,0.00,"Não
"
13527314,5,20170421,Brasil,Rio Grande do Norte,Natal,20170724,Brasil,Sergipe,Aracaju,Aéreo,94.00,"Sim
"
13527314,10,20170930,Brasil,Sergipe,Aracaju,20171103,Brasil,Rio Grande do Norte,Natal,Veículo Oficial,34.00,"Sim
"
13527314,3,20170417,Brasil,Rio Grande do Norte,Natal,20170419,Brasil,Rio de Janeiro,Rio de Janeiro,Rodoviário,0.00,"Não
"
13527314,11,20171103,Brasil,Rio Grande do Norte,Natal,20171107,Brasil,Rio de Janeiro,Rio de Janeiro,Rodoviário,0.00,"Não
"
13527314,1,20170101,Brasil,Rio de Janeiro,Rio de Janeiro,20170123,Brasil,Distrito Federal,Brasília,Veículo Oficial,22.00,"Sim
"
13527314,7,20170728,Brasil,Rio de Janeiro,Rio de Janeiro,20170929,Brasil,Sergipe,Aracaju,Veículo Oficial,63.00,"Sim
"
13527323,1,20170202,Brasil,Distrito Federal,Brasília,20170206,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,4.00,"Sim
"
13527323,2,20170206,Brasil,Rio de Janeiro,Rio de Janeiro,20170206,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527325,2,20170203,Brasil,Rio Grande do Norte,Natal,20170203,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527325,1,20170202,Brasil,Distrito Federal,Brasília,20170203,Brasil,Rio Grande do Norte,Natal,Aéreo,1.00,"Sim
"
13527326,6,20170210,Brasil,Mato Grosso do Sul,Aquidauana,20170211,Brasil,Mato Grosso do Sul,Campo Grande,Veículo Oficial,1.00,"Sim
"
13527326,4,20170209,Brasil,Mato Grosso do Sul,Amambaí,20170210,Brasil,Mato Grosso do Sul,Campo Grande,Veículo Oficial,1.00,"Sim
"
13527326,5,20170210,Brasil,Mato Grosso do Sul,Campo Grande,20170210,Brasil,Mato Grosso do Sul,Aquidauana,Veículo Oficial,0.00,"Sim
"
13527326,2,20170208,Brasil,Mato Grosso do Sul,Campo Grande,20170209,Brasil,Mato Grosso do Sul,Dourados,Veículo Oficial,1.00,"Sim
"
13527326,7,20170211,Brasil,Mato Grosso do Sul,Campo Grande,20170211,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527326,3,20170209,Brasil,Mato Grosso do Sul,Dourados,20170209,Brasil,Mato Grosso do Sul,Amambaí,Veículo Oficial,0.00,"Sim
"
13527326,1,20170208,Brasil,Distrito Federal,Brasília,20170208,Brasil,Mato Grosso do Sul,Campo Grande,Aéreo,0.00,"Não
"
13527330,1,20170212,Brasil,Rio de Janeiro,Rio de Janeiro,20170214,Brasil,Minas Gerais,Montes Claros,Aéreo,2.00,"Sim
"
13527330,2,20170214,Brasil,Minas Gerais,Montes Claros,20170214,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527331,4,20170218,Brasil,Pernambuco,Recife,20170218,Brasil,Pernambuco,Garanhuns,Veículo Oficial,0.00,"Não
"
13527331,1,20170213,Brasil,Pernambuco,Garanhuns,20170213,Brasil,Pernambuco,Recife,Veículo Oficial,0.00,"Não
"
13527331,2,20170213,Brasil,Pernambuco,Recife,20170217,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,4.00,"Sim
"
13527331,3,20170217,Brasil,Rio de Janeiro,Rio de Janeiro,20170218,Brasil,Pernambuco,Recife,Aéreo,1.00,"Não
"
13527332,2,20170217,Brasil,São Paulo,São Paulo,20170217,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527332,1,20170213,Brasil,Distrito Federal,Brasília,20170217,Brasil,São Paulo,São Paulo,Aéreo,4.00,"Sim
"
13527333,3,20170217,Brasil,Bahia,Irecê,20170217,Brasil,Bahia,Salvador,Veículo Oficial,0.00,"Não
"
13527333,2,20170214,Brasil,Bahia,Salvador,20170217,Brasil,Bahia,Irecê,Veículo Oficial,3.00,"Sim
"
13527333,1,20170214,Brasil,Distrito Federal,Brasília,20170214,Brasil,Bahia,Salvador,Aéreo,0.00,"Não
"
13527333,4,20170217,Brasil,Bahia,Salvador,20170217,Brasil,Distrito Federal,Brasília,Aéreo,0.00,"Não
"
13527342,2,20170206,Brasil,São Paulo,Campinas,20170206,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527342,1,20170206,Brasil,Rio de Janeiro,Rio de Janeiro,20170206,Brasil,São Paulo,Campinas,Aéreo,0.00,"Sim
"
13527346,2,20170521,Espanha,,Alcalá de Henares - Madrid,20170621,Espanha,,Salamanca,Rodoviário,0.00,"Sim
"
13527346,4,20170621,Espanha,,Alcalá de Henares - Madrid,20170621,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527346,1,20170520,Brasil,Rio de Janeiro,Rio de Janeiro,20170521,Espanha,,Alcalá de Henares - Madrid,Aéreo,0.00,"Não
"
13527346,3,20170621,Espanha,,Salamanca,20170621,Espanha,,Alcalá de Henares - Madrid,Rodoviário,0.00,"Não
"
13527348,2,20170210,Brasil,Distrito Federal,Brasília,20170210,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,0.00,"Não
"
13527348,1,20170209,Brasil,Rio de Janeiro,Rio de Janeiro,20170210,Brasil,Distrito Federal,Brasília,Aéreo,1.00,"Sim
"
13527350,1,20170213,Brasil,Ceará,Fortaleza,20170217,Brasil,Alagoas,Maceió,Aéreo,4.00,"Sim
"
13527350,2,20170217,Brasil,Alagoas,Maceió,20170217,Brasil,Ceará,Fortaleza,Aéreo,0.00,"Não
"
13527351,1,20170209,Brasil,Rio Grande do Norte,Natal,20170210,Brasil,Distrito Federal,Brasília,Aéreo,1.00,"Sim
"
13527351,2,20170210,Brasil,Distrito Federal,Brasília,20170210,Brasil,Rio Grande do Norte,Natal,Aéreo,0.00,"Não
"
13527352,2,20170211,Brasil,Bahia,Barreiras,20170211,Brasil,Bahia,Salvador,Aéreo,0.00,"Não
"
